# energy s(up) s(down) p(up) p(down)
-6.195000000000037588e+00 9.982159423621809205e-06 -0.000000000000000000e+00 1.715868178518340469e-06 -0.000000000000000000e+00
-6.185000000000037801e+00 1.256841554047843794e-05 -0.000000000000000000e+00 2.794193719040891839e-07 -0.000000000000000000e+00
-6.175000000000038014e+00 1.517323057539994810e-05 -0.000000000000000000e+00 -7.904788810369592625e-07 -0.000000000000000000e+00
-6.165000000000038227e+00 1.772699983967600070e-05 -0.000000000000000000e+00 -1.340456993566301107e-06 -0.000000000000000000e+00
-6.155000000000038440e+00 2.014680713993200191e-05 -0.000000000000000000e+00 -1.246569135705620595e-06 -0.000000000000000000e+00
-6.145000000000038654e+00 2.235137867078132597e-05 -0.000000000000000000e+00 -4.281997509568864791e-07 -0.000000000000000000e+00
-6.135000000000038867e+00 2.427115169826612984e-05 -0.000000000000000000e+00 1.213023408907419058e-06 -0.000000000000000000e+00
-6.125000000000039080e+00 2.584371316943037428e-05 -0.000000000000000000e+00 3.746049790764753638e-06 -0.000000000000000000e+00
-6.115000000000039293e+00 2.701660085479891952e-05 -0.000000000000000000e+00 7.169578189425664029e-06 -0.000000000000000000e+00
-6.105000000000039506e+00 2.775528566931797833e-05 -0.000000000000000000e+00 1.148033741174702237e-05 -0.000000000000000000e+00
-6.095000000000039719e+00 2.804224885906356484e-05 -0.000000000000000000e+00 1.663083730677417593e-05 -0.000000000000000000e+00
-6.085000000000039933e+00 2.787890086501445893e-05 -0.000000000000000000e+00 2.254211348429707894e-05 -0.000000000000000000e+00
-6.075000000000040146e+00 2.728577890463937885e-05 -0.000000000000000000e+00 2.910896918576568287e-05 -0.000000000000000000e+00
-6.065000000000040359e+00 2.630022772633055903e-05 -0.000000000000000000e+00 3.621298657811720034e-05 -0.000000000000000000e+00
-6.055000000000040572e+00 2.497988758824419090e-05 -0.000000000000000000e+00 4.371118175940996779e-05 -0.000000000000000000e+00
-6.045000000000040785e+00 2.339296707555979179e-05 -0.000000000000000000e+00 5.147148436579045963e-05 -0.000000000000000000e+00
-6.035000000000040998e+00 2.161853847865151214e-05 -0.000000000000000000e+00 5.937227867661153157e-05 -0.000000000000000000e+00
-6.025000000000041211e+00 1.974462512867347199e-05 -0.000000000000000000e+00 6.730527989478713683e-05 -0.000000000000000000e+00
-6.015000000000041425e+00 1.786182074351890444e-05 -0.000000000000000000e+00 7.519186045556476962e-05 -0.000000000000000000e+00
-6.005000000000041638e+00 1.605597956708010071e-05 -0.000000000000000000e+00 8.298386320894457859e-05 -0.000000000000000000e+00
-5.995000000000041851e+00 1.441307929660408058e-05 -0.000000000000000000e+00 9.067532143420924118e-05 -0.000000000000000000e+00
-5.985000000000042064e+00 1.300724039224036565e-05 -0.000000000000000000e+00 9.829325762613593507e-05 -0.000000000000000000e+00
-5.975000000000042277e+00 1.191026221588289375e-05 -0.000000000000000000e+00 1.058859940851761212e-04 -0.000000000000000000e+00
-5.965000000000042490e+00 1.117278536745060539e-05 -0.000000000000000000e+00 1.135444751289005068e-04 -0.000000000000000000e+00
-5.955000000000042704e+00 1.082881705659073054e-05 -2.225509879207833150e-10 1.213758309199995634e-04 -6.062599921359792063e-09
-5.945000000000042917e+00 1.091010004837972753e-05 -3.303511681434365860e-10 1.294902080150704823e-04 -8.999227479144703618e-09
-5.935000000000043130e+00 1.142108806381326536e-05 -3.124733330001100946e-09 1.379999423675960443e-04 -2.910469250928760821e-08
-5.925000000000043343e+00 1.235397366965727713e-05 -4.624034891971839217e-09 1.470009430287994132e-04 -4.281381440723336606e-08
-5.915000000000043556e+00 1.368573561220586385e-05 -8.263643570606189173e-09 1.565626288059142216e-04 -7.165008919387479209e-08
