# energy s(up) s(down) p(up) p(down)
-6.205000000000037375e+00 4.051585571398631878e-04 -0.000000000000000000e+00 4.892620367060966646e-02 -0.000000000000000000e+00
-6.195000000000037588e+00 4.164911584841668782e-04 -0.000000000000000000e+00 5.131254574215335373e-02 -0.000000000000000000e+00
-6.185000000000037801e+00 4.260097337031249279e-04 -0.000000000000000000e+00 5.354333580542813137e-02 -0.000000000000000000e+00
-6.175000000000038014e+00 4.337577557245425705e-04 -0.000000000000000000e+00 5.559551818901517506e-02 -0.000000000000000000e+00
-6.165000000000038227e+00 4.398184499766864147e-04 -0.000000000000000000e+00 5.744967811439283950e-02 -0.000000000000000000e+00
-6.155000000000038440e+00 4.442872496176087250e-04 -0.000000000000000000e+00 5.908470799345010710e-02 -0.000000000000000000e+00
-6.145000000000038654e+00 4.472526774321101701e-04 -0.000000000000000000e+00 6.047706225098656296e-02 -0.000000000000000000e+00
-6.135000000000038867e+00 4.488215473308209834e-04 -0.000000000000000000e+00 6.160987721495671948e-02 -0.000000000000000000e+00
-6.125000000000039080e+00 4.490859951450041623e-04 -0.000000000000000000e+00 6.246772199610070575e-02 -0.000000000000000000e+00
-6.115000000000039293e+00 4.481040740998683356e-04 -0.000000000000000000e+00 6.303279913695861159e-02 -0.000000000000000000e+00
-6.105000000000039506e+00 4.459221086868560822e-04 -0.000000000000000000e+00 6.329421675712917916e-02 -0.000000000000000000e+00
-6.095000000000039719e+00 4.425573219142953487e-04 -0.000000000000000000e+00 6.324353445492703063e-02 -0.000000000000000000e+00
-6.085000000000039933e+00 4.380037997656023910e-04 -0.000000000000000000e+00 6.287678795090953510e-02 -0.000000000000000000e+00
-6.075000000000040146e+00 4.322377786993704765e-04 -0.000000000000000000e+00 6.219529096318206218e-02 -0.000000000000000000e+00
-6.065000000000040359e+00 4.252295319368841389e-04 -0.000000000000000000e+00 6.120731492883676322e-02 -0.000000000000000000e+00
-6.055000000000040572e+00 4.169387279947076464e-04 -0.000000000000000000e+00 5.992525903788760433e-02 -0.000000000000000000e+00
-6.045000000000040785e+00 4.073531589359137475e-04 -0.000000000000000000e+00 5.837253219689959860e-02 -0.000000000000000000e+00
-6.035000000000040998e+00 3.964610927231602836e-04 -0.000000000000000000e+00 5.657494321605666121e-02 -0.000000000000000000e+00
-6.025000000000041211e+00 3.842878693126705429e-04 -0.000000000000000000e+00 5.456697561952866815e-02 -0.000000000000000000e+00
-6.015000000000041425e+00 3.709161330697304708e-04 -0.000000000000000000e+00 5.239301734764331003e-02 -0.000000000000000000e+00
-6.005000000000041638e+00 3.564408286082233453e-04 -0.000000000000000000e+00 5.009697628595506658e-02 -0.000000000000000000e+00
-5.995000000000041851e+00 3.410140830995300222e-04 -0.000000000000000000e+00 4.772940795284546373e-02 -0.000000000000000000e+00
-5.985000000000042064e+00 3.248433593606028596e-04 -0.000000000000000000e+00 4.534628706930039777e-02 -0.000000000000000000e+00
-5.975000000000042277e+00 3.081453562190861954e-04 -0.000000000000000000e+00 4.299903777278733102e-02 -0.000000000000000000e+00
-5.965000000000042490e+00 2.911941599947981082e-04 -0.000000000000000000e+00 4.074371751172965045e-02 -0.000000000000000000e+00
-5.955000000000042704e+00 2.742998599588692896e-04 -4.103662234989341469e-10 3.863641775456014976e-02 -1.094058119136249323e-06
-5.945000000000042917e+00 2.577215806407418485e-04 -6.091411346497263552e-10 3.671890844434200218e-02 -1.624002575994491808e-06
-5.935000000000043130e+00 2.417695416802802429e-04 -1.657526045530061290e-09 3.503641252508019055e-02 -4.559496150365727586e-06
-5.925000000000043343e+00 2.267234257348340145e-04 -2.434092970159920496e-09 3.362440963031070734e-02 -6.697893515812526674e-06
-5.915000000000043556e+00 2.128371951730127971e-04 -3.877593860959792013e-09 3.251023781636441096e-02 -1.081185454799752969e-05
-5.905000000000043769e+00 2.003294981310714247e-04 -7.341784221193773862e-09 3.171231554221532606e-02 -1.884658769372008668e-05
-5.895000000000043983e+00 1.893762521159225644e-04 -1.220275452020646360e-08 3.123974205110493021e-02 -3.037735271528961030e-05
-5.885000000000044196e+00 1.801101481755164346e-04 -1.929453240604760173e-08 3.109281497252203846e-02 -4.568615705297560093e-05
-5.875000000000044409e+00 1.726031757356615514e-04 -2.819087291629810005e-08 3.126159677738716419e-02 -6.601345458796151840e-05
-5.865000000000044622e+00 1.668879539130443967e-04 -3.992998759922006486e-08 3.172915030408585135e-02 -9.304563858131147428e-05
-5.855000000000044835e+00 1.629743062599456826e-04 -5.603126123867277596e-08 3.247476345541080306e-02 -1.299178922370197644e-04
-5.845000000000045048e+00 1.607705259672946954e-04 -7.789368455723288092e-08 3.346356946174034591e-02 -1.797020602129388101e-04
-5.835000000000045262e+00 1.601961222233231328e-04 -1.079092554371009520e-07 3.466283573279082403e-02 -2.473291846491414798e-04
-5.825000000000045475e+00 1.611387480336394940e-04 -1.486482301246959910e-07 3.603650743357644098e-02 -3.380301670756623474e-04
-5.815000000000045688e+00 1.634545693122780360e-04 -2.032751588788796022e-07 3.754716105075848326e-02 -4.572414769663827802e-04
-5.805000000000045901e+00 1.670589542583935348e-04 -2.729329763144785495e-07 3.916338367468572002e-02 -6.101672866287099171e-04
