# energy s(up) s(down) p(up) p(down) d(up) d(down)
-6.665000000000027569e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.655000000000027782e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.645000000000027995e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.635000000000028209e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.625000000000028422e+00 2.492763167239983508e-08 -0.000000000000000000e+00 -2.119742037020920223e-08 -0.000000000000000000e+00 1.260295676999237158e-06 -0.000000000000000000e+00
-6.615000000000028635e+00 3.700218237160917082e-08 -0.000000000000000000e+00 -3.146511568584296562e-08 -0.000000000000000000e+00 1.870762978823607305e-06 -0.000000000000000000e+00
-6.605000000000028848e+00 7.974081613550832434e-08 -0.000000000000000000e+00 -3.297339223119020436e-08 -0.000000000000000000e+00 3.367280624003641343e-06 -0.000000000000000000e+00
-6.595000000000029061e+00 1.314037723782716232e-07 -0.000000000000000000e+00 -3.609590013887576562e-08 -0.000000000000000000e+00 5.214662023235775230e-06 -0.000000000000000000e+00
-6.585000000000029274e+00 1.910265966740656141e-07 -0.000000000000000000e+00 -5.091944297309973557e-08 -0.000000000000000000e+00 7.551523307456098004e-06 -0.000000000000000000e+00
-6.575000000000029488e+00 2.749760506953542374e-07 -0.000000000000000000e+00 -7.104562681128350442e-08 -0.000000000000000000e+00 1.082783331446839339e-05 -0.000000000000000000e+00
-6.565000000000029701e+00 3.919325415564964069e-07 -0.000000000000000000e+00 -9.803661005402379554e-08 -0.000000000000000000e+00 1.537261412716212306e-05 -0.000000000000000000e+00
-6.555000000000029914e+00 5.531508492715231438e-07 -0.000000000000000000e+00 -1.337834805715866688e-07 -0.000000000000000000e+00 2.160994385022495926e-05 -0.000000000000000000e+00
-6.545000000000030127e+00 7.730223002098562787e-07 -0.000000000000000000e+00 -1.805270481737298733e-07 -0.000000000000000000e+00 3.007875649592575636e-05 -0.000000000000000000e+00
-6.535000000000030340e+00 1.069687702630015238e-06 -0.000000000000000000e+00 -2.408605564021991485e-07 -0.000000000000000000e+00 4.145405540877241876e-05 -0.000000000000000000e+00
-6.525000000000030553e+00 1.474210191572371524e-06 -0.000000000000000000e+00 -3.236530890838604424e-07 -0.000000000000000000e+00 5.673622988531726438e-05 -0.000000000000000000e+00
-6.515000000000030767e+00 2.001220207798530708e-06 -0.000000000000000000e+00 -4.230843546760971644e-07 -0.000000000000000000e+00 7.668274221502089771e-05 -0.000000000000000000e+00
-6.505000000000030980e+00 2.735792214137537451e-06 -0.000000000000000000e+00 -5.664187265666738792e-07 -0.000000000000000000e+00 1.035808580491201129e-04 -0.000000000000000000e+00
-6.495000000000031193e+00 3.671684909680833363e-06 -0.000000000000000000e+00 -7.362808216355011194e-07 -0.000000000000000000e+00 1.379221259005806088e-04 -0.000000000000000000e+00
-6.485000000000031406e+00 4.908881890568225992e-06 -0.000000000000000000e+00 -9.647987191650417977e-07 -0.000000000000000000e+00 1.826789062040435827e-04 -0.000000000000000000e+00
-6.475000000000031619e+00 6.437892759847967550e-06 -0.000000000000000000e+00 -1.222647314982810903e-06 -0.000000000000000000e+00 2.380648162437930043e-04 -0.000000000000000000e+00
-6.465000000000031832e+00 8.365520956320080187e-06 -0.000000000000000000e+00 -1.535202529233255825e-06 -0.000000000000000000e+00 3.073172741095079718e-04 -0.000000000000000000e+00
-6.455000000000032045e+00 1.077107564076028982e-05 -0.000000000000000000e+00 -1.910543113262302145e-06 -0.000000000000000000e+00 3.929934937768662473e-04 -0.000000000000000000e+00
-6.445000000000032259e+00 1.374273803013902504e-05 -0.000000000000000000e+00 -2.357345784742830453e-06 -0.000000000000000000e+00 4.978681418555356165e-04 -0.000000000000000000e+00
-6.435000000000032472e+00 1.737678843879759841e-05 -0.000000000000000000e+00 -2.884944027677735460e-06 -0.000000000000000000e+00 6.248853179042118981e-04 -0.000000000000000000e+00
