# energy s(up) s(down) p(up) p(down) d(up) d(down)
-7.805000000000003268e+00 3.975468637660365794e-05 -0.000000000000000000e+00 7.786784854133632194e-06 -0.000000000000000000e+00 1.394449034006841059e-01 -0.000000000000000000e+00
-7.795000000000003482e+00 3.392195773544948260e-05 -0.000000000000000000e+00 6.792182903953010618e-06 -0.000000000000000000e+00 1.197183131047034471e-01 -0.000000000000000000e+00
-7.785000000000003695e+00 2.869926840909430176e-05 -0.000000000000000000e+00 5.862192749297223250e-06 -0.000000000000000000e+00 1.019658725192786192e-01 -0.000000000000000000e+00
-7.775000000000003908e+00 2.407316599768822229e-05 -0.000000000000000000e+00 5.005567061123569224e-06 -0.000000000000000000e+00 8.615178109418855645e-02 -0.000000000000000000e+00
-7.765000000000004121e+00 2.001907613392920449e-05 -0.000000000000000000e+00 4.228035603146589730e-06 -0.000000000000000000e+00 7.220497517009387412e-02 -0.000000000000000000e+00
-7.755000000000004334e+00 1.650365600786671909e-05 -0.000000000000000000e+00 3.532410296722688007e-06 -0.000000000000000000e+00 6.002624775234690485e-02 -0.000000000000000000e+00
-7.745000000000004547e+00 1.348712657981640505e-05 -0.000000000000000000e+00 2.918836618072051975e-06 -0.000000000000000000e+00 4.949528558579660564e-02 -0.000000000000000000e+00
-7.735000000000004761e+00 1.092548325800484236e-05 -0.000000000000000000e+00 2.385153594669316601e-06 -0.000000000000000000e+00 4.047734935195891615e-02 -0.000000000000000000e+00
-7.725000000000004974e+00 8.772505437505351291e-06 -0.000000000000000000e+00 1.927322240946814648e-06 -0.000000000000000000e+00 3.282937994109866309e-02 -0.000000000000000000e+00
-7.715000000000005187e+00 6.981507833209544013e-06 -0.000000000000000000e+00 1.539883729001160458e-06 -0.000000000000000000e+00 2.640537403277962505e-02 -0.000000000000000000e+00
-7.705000000000005400e+00 5.506799159901913447e-06 -0.000000000000000000e+00 1.216413097651131468e-06 -0.000000000000000000e+00 2.106093163274907684e-02 -0.000000000000000000e+00
-7.695000000000005613e+00 4.304465483714326048e-06 -0.000000000000000000e+00 9.504686981352328356e-07 -0.000000000000000000e+00 1.665060646186351800e-02 -0.000000000000000000e+00
-7.685000000000005826e+00 3.334013722879908608e-06 -0.000000000000000000e+00 7.344816687281286976e-07 -0.000000000000000000e+00 1.305028658196662715e-02 -0.000000000000000000e+00
-7.675000000000006040e+00 2.559829089328158349e-06 -0.000000000000000000e+00 5.603069746994233222e-07 -0.000000000000000000e+00 1.014831491247603426e-02 -0.000000000000000000e+00
-7.665000000000006253e+00 1.947004841195970220e-06 -0.000000000000000000e+00 4.214223884111346564e-07 -0.000000000000000000e+00 7.822229274739880139e-03 -0.000000000000000000e+00
-7.655000000000006466e+00 1.461776383001851944e-06 -0.000000000000000000e+00 3.090189290146187594e-07 -0.000000000000000000e+00 5.968902188700277514e-03 -0.000000000000000000e+00
-7.645000000000006679e+00 1.090349296231052013e-06 -0.000000000000000000e+00 2.265266384460919510e-07 -0.000000000000000000e+00 4.518423916208156796e-03 -0.000000000000000000e+00
-7.635000000000006892e+00 8.053087408972003643e-07 -0.000000000000000000e+00 1.650944536354511163e-07 -0.000000000000000000e+00 3.389439713288741607e-03 -0.000000000000000000e+00
-7.625000000000007105e+00 5.877926228607770427e-07 -0.000000000000000000e+00 1.186154292146065454e-07 -0.000000000000000000e+00 2.515702162796811490e-03 -0.000000000000000000e+00
-7.615000000000007319e+00 4.256929300185224233e-07 -0.000000000000000000e+00 8.436973581765610956e-08 -0.000000000000000000e+00 1.848928944394194040e-03 -0.000000000000000000e+00
-7.605000000000007532e+00 3.059992798446684471e-07 -0.000000000000000000e+00 5.961243366434501396e-08 -0.000000000000000000e+00 1.345761285200233011e-03 -0.000000000000000000e+00
-7.595000000000007745e+00 2.161151597593661168e-07 -0.000000000000000000e+00 4.399583835443964009e-08 -0.000000000000000000e+00 9.630090055189662740e-04 -0.000000000000000000e+00
-7.585000000000007958e+00 1.505444352375677453e-07 -0.000000000000000000e+00 3.271595887916943661e-08 -0.000000000000000000e+00 6.796042475576598036e-04 -0.000000000000000000e+00
-7.575000000000008171e+00 1.047190764553013293e-07 -0.000000000000000000e+00 2.237752879194423917e-08 -0.000000000000000000e+00 4.776883532379177415e-04 -0.000000000000000000e+00
-7.565000000000008384e+00 7.081587329121521413e-08 -0.000000000000000000e+00 1.487007277856470815e-08 -0.000000000000000000e+00 3.297674932511824274e-04 -0.000000000000000000e+00
-7.555000000000008598e+00 4.543318067210209997e-08 -0.000000000000000000e+00 9.476282139219341571e-09 -0.000000000000000000e+00 2.231468844983331042e-04 -0.000000000000000000e+00
-7.545000000000008811e+00 2.871971430713537412e-08 -0.000000000000000000e+00 6.052305388077452033e-09 -0.000000000000000000e+00 1.505111939908879246e-04 -0.000000000000000000e+00
