# energy dos(up) dos(down)
-8.335000000000013287e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.325000000000013500e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.315000000000013713e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.305000000000013927e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.295000000000014140e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.285000000000014353e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.275000000000014566e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.265000000000014779e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.255000000000014992e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.245000000000015206e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.235000000000015419e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.225000000000015632e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.215000000000015845e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.205000000000016058e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.195000000000016271e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.185000000000016485e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.175000000000016698e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.165000000000016911e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.155000000000017124e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.145000000000017337e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.135000000000017550e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.125000000000017764e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.115000000000017977e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.105000000000018190e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.095000000000018403e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.085000000000018616e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.075000000000018829e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.065000000000019043e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.055000000000019256e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.045000000000019469e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.035000000000019682e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.025000000000019895e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.015000000000020108e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.005000000000020322e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.995000000000021423e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.985000000000021636e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.975000000000021849e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.965000000000022062e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.955000000000022276e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.945000000000022489e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.935000000000022702e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.925000000000022915e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.915000000000023128e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.905000000000023341e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.895000000000023554e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.885000000000023768e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.875000000000023981e+00 2.974156222309288209e-06 -0.000000000000000000e+00
-7.865000000000024194e+00 1.631141536696205436e-05 -0.000000000000000000e+00
-7.855000000000024407e+00 3.604382611236316223e-05 -0.000000000000000000e+00
-7.845000000000024620e+00 5.305136065679986633e-05 -0.000000000000000000e+00
-7.835000000000024833e+00 7.731083525081466944e-05 -0.000000000000000000e+00
-7.825000000000025047e+00 1.115481488049821404e-04 -0.000000000000000000e+00
-7.815000000000025260e+00 1.593538274864700149e-04 -0.000000000000000000e+00
-7.805000000000025473e+00 2.253931565532353294e-04 -0.000000000000000000e+00
-7.795000000000025686e+00 3.156436168280316859e-04 -0.000000000000000000e+00
-7.785000000000025899e+00 4.376544195292898288e-04 -0.000000000000000000e+00
-7.775000000000026112e+00 6.008189330880539048e-04 -0.000000000000000000e+00
-7.765000000000026326e+00 8.434134194519877885e-04 -0.000000000000000000e+00
-7.755000000000026539e+00 1.138743985716287460e-03 -0.000000000000000000e+00
-7.745000000000026752e+00 1.522752819849908278e-03 -0.000000000000000000e+00
-7.735000000000026965e+00 2.031674142819219799e-03 -0.000000000000000000e+00
-7.725000000000027178e+00 2.679683619225773934e-03 -0.000000000000000000e+00
-7.715000000000027391e+00 3.514680507770689272e-03 -0.000000000000000000e+00
-7.705000000000027605e+00 4.537740068830497034e-03 -0.000000000000000000e+00
-7.695000000000027818e+00 5.805853801582576065e-03 -0.000000000000000000e+00
-7.685000000000028031e+00 7.362173308167705398e-03 -0.000000000000000000e+00
-7.675000000000028244e+00 9.271293987315140997e-03 -0.000000000000000000e+00
-7.665000000000028457e+00 1.155737455212299536e-02 -0.000000000000000000e+00
-7.655000000000028670e+00 1.429042317386770670e-02 -0.000000000000000000e+00
-7.645000000000028884e+00 1.751459924265506840e-02 -0.000000000000000000e+00
-7.635000000000029097e+00 2.129004175446956582e-02 -0.000000000000000000e+00
-7.625000000000029310e+00 2.567999184697245668e-02 -0.000000000000000000e+00
-7.615000000000029523e+00 3.074085782843550760e-02 -0.000000000000000000e+00
-7.605000000000029736e+00 3.651092934909019178e-02 -0.000000000000000000e+00
-7.595000000000029949e+00 4.304785563979924429e-02 -0.000000000000000000e+00
-7.585000000000030163e+00 5.037371834282063782e-02 -0.000000000000000000e+00
-7.575000000000030376e+00 5.853353609974953214e-02 -0.000000000000000000e+00
-7.565000000000030589e+00 6.755393303149073714e-02 -0.000000000000000000e+00
-7.555000000000030802e+00 7.745325192205659848e-02 -0.000000000000000000e+00
-7.545000000000031015e+00 8.825871164742468689e-02 -0.000000000000000000e+00
-7.535000000000031228e+00 9.995941279501507903e-02 -0.000000000000000000e+00
-7.525000000000031442e+00 1.125420902109324217e-01 -0.000000000000000000e+00
